Province,Date,Sex,Age,Cumulative number of people (Vaccinedose1)
Prince Edward Island,2021-01-30,f,80+,979
Prince Edward Island,2021-01-30,m,80+,404
Prince Edward Island,2021-01-30,Unknown,80+,0
Prince Edward Island,2021-01-30,Not reported,80+,0
Nova Scotia,2021-01-30,All sexes,80+,1012
Nova Scotia,2021-01-30,f,80+,759
Nova Scotia,2021-01-30,m,80+,253
Nova Scotia,2021-01-30,Unknown,80+,0
Nova Scotia,2021-01-30,Not reported,80+,0
Quebec,2021-01-30,All sexes,80+,37145
Quebec,2021-01-30,f,80+,26335
Quebec,2021-01-30,m,80+,10802
Quebec,2021-01-30,Unknown,80+,8
Quebec,2021-01-30,Not reported,80+,0
Ontario,2021-01-30,All sexes,80+,0
Ontario,2021-01-30,f,80+,0
Ontario,2021-01-30,m,80+,0
Ontario,2021-01-30,Unknown,80+,0
Ontario,2021-01-30,Not reported,80+,0
Manitoba,2021-01-30,All sexes,80+,6460
Manitoba,2021-01-30,f,80+,4570
Manitoba,2021-01-30,m,80+,1890
Manitoba,2021-01-30,Unknown,80+,0
Manitoba,2021-01-30,Not reported,80+,0
Saskatchewan,2021-01-30,All sexes,80+,6882
Saskatchewan,2021-01-30,f,80+,4596
Saskatchewan,2021-01-30,m,80+,2286
Saskatchewan,2021-01-30,Unknown,80+,0
Saskatchewan,2021-01-30,Not reported,80+,0
Alberta,2021-01-30,All sexes,80+,18337
Alberta,2021-01-30,f,80+,13092
Alberta,2021-01-30,m,80+,5245
Alberta,2021-01-30,Unknown,80+,0
Alberta,2021-01-30,Not reported,80+,0
British Columbia,2021-01-30,All sexes,80+,28336
British Columbia,2021-01-30,f,80+,19756
British Columbia,2021-01-30,m,80+,8579
British Columbia,2021-01-30,Unknown,80+,1
British Columbia,2021-01-30,Not reported,80+,0
Yukon,2021-01-30,All sexes,80+,641
Yukon,2021-01-30,f,80+,335
Yukon,2021-01-30,m,80+,306
Yukon,2021-01-30,Unknown,80+,0
Yukon,2021-01-30,Not reported,80+,0
Northwest Territories,2021-01-30,All sexes,80+,488
Northwest Territories,2021-01-30,f,80+,260
Northwest Territories,2021-01-30,m,80+,228
Northwest Territories,2021-01-30,Unknown,80+,0
Northwest Territories,2021-01-30,Not reported,80+,0
Nunavut,2021-01-30,All sexes,80+,91
Nunavut,2021-01-30,f,80+,52
Nunavut,2021-01-30,m,80+,39
Nunavut,2021-01-30,Unknown,80+,0
Nunavut,2021-01-30,Not reported,80+,0
Canada,2021-02-06,All sexes,80+,109798
Canada,2021-02-06,f,80+,77060
Canada,2021-02-06,m,80+,32524
Canada,2021-02-06,Unknown,80+,214
Canada,2021-02-06,Not reported,80+,0
Newfoundland and Labrador,2021-02-06,All sexes,80+,871
Newfoundland and Labrador,2021-02-06,f,80+,571
Newfoundland and Labrador,2021-02-06,m,80+,102
Newfoundland and Labrador,2021-02-06,Unknown,80+,198
Newfoundland and Labrador,2021-02-06,Not reported,80+,0
Prince Edward Island,2021-02-06,All sexes,80+,1387
Prince Edward Island,2021-02-06,f,80+,981
Prince Edward Island,2021-02-06,m,80+,406
Prince Edward Island,2021-02-06,Unknown,80+,0
Prince Edward Island,2021-02-06,Not reported,80+,0
Nova Scotia,2021-02-06,All sexes,80+,1217
Nova Scotia,2021-02-06,f,80+,931
Nova Scotia,2021-02-06,m,80+,286
Nova Scotia,2021-02-06,Unknown,80+,0
Nova Scotia,2021-02-06,Not reported,80+,0
New Brunswick,2021-02-06,All sexes,80+,1913
New Brunswick,2021-02-06,f,80+,1347
New Brunswick,2021-02-06,m,80+,566
New Brunswick,2021-02-06,Unknown,80+,0
New Brunswick,2021-02-06,Not reported,80+,0
Quebec,2021-02-06,All sexes,80+,41824
Quebec,2021-02-06,f,80+,29658
Quebec,2021-02-06,m,80+,12151
Quebec,2021-02-06,Unknown,80+,15
Quebec,2021-02-06,Not reported,80+,0
Ontario,2021-02-06,All sexes,80+,0
Ontario,2021-02-06,f,80+,0
Ontario,2021-02-06,m,80+,0
Ontario,2021-02-06,Unknown,80+,0
Ontario,2021-02-06,Not reported,80+,0
Manitoba,2021-02-06,All sexes,80+,6609
Manitoba,2021-02-06,f,80+,4678
Manitoba,2021-02-06,m,80+,1931
Manitoba,2021-02-06,Unknown,80+,0
Manitoba,2021-02-06,Not reported,80+,0
Saskatchewan,2021-02-06,All sexes,80+,7497
Saskatchewan,2021-02-06,f,80+,5007
Saskatchewan,2021-02-06,m,80+,2490
Saskatchewan,2021-02-06,Unknown,80+,0
Saskatchewan,2021-02-06,Not reported,80+,0
Alberta,2021-02-06,All sexes,80+,18561
Alberta,2021-02-06,f,80+,13264
Alberta,2021-02-06,m,80+,5297
Alberta,2021-02-06,Unknown,80+,0
Alberta,2021-02-06,Not reported,80+,0
British Columbia,2021-02-06,All sexes,80+,28634
British Columbia,2021-02-06,f,80+,19941
British Columbia,2021-02-06,m,80+,8692
British Columbia,2021-02-06,Unknown,80+,1
British Columbia,2021-02-06,Not reported,80+,0
Yukon,2021-02-06,All sexes,80+,704
Yukon,2021-02-06,f,80+,370
Yukon,2021-02-06,m,80+,334
Yukon,2021-02-06,Unknown,80+,0
Yukon,2021-02-06,Not reported,80+,0
Northwest Territories,2021-02-06,All sexes,80+,485
Northwest Territories,2021-02-06,f,80+,257
Northwest Territories,2021-02-06,m,80+,228
Northwest Territories,2021-02-06,Unknown,80+,0
Northwest Territories,2021-02-06,Not reported,80+,0
